cycle,race_id,state_abbrev,y,pvi,same_raw,same_resid,same_gap,same_missing,econ,national,inc_diff,outparty,sen_personal_diff,house_personal_diff,gov_personal_diff,candidate_evidence_n,d_pid,r_pid,same_source_race_id,same_source_cycle,d_sen_n,r_sen_n,d_house_n,r_house_n,d_gov_n,r_gov_n
2018,96,AZ,2.40295749,-8.36180662,-3.17211732,0.6167920360749655,6.0,0.0,-1.2261567118414751,8.83491,0.0,0.0,0.0,6.5806842039474125,0.0,5,3067,3888,1473,2012,0,0,2,3,0,0
2018,126,WV,3.45374032,-41.50519077,24.83451306,32.58071778794321,6.0,0.0,1.6758148828595498,8.83491,1.0,1.0,11.253953236569105,0.0,15.107933056999935,2,925,6828,1503,2012,1,0,0,0,1,0
2018,98,CT,20.408577,12.57523049,12.0060817,-12.115177880327666,6.0,0.0,0.6911029695535031,8.83491,1.0,0.0,0.0,3.2974778557406097,0.0,5,446,3430,1475,2012,0,0,3,2,0,0
2018,100,FL,-0.12251836,-3.32169744,13.34529734,7.63536048685094,6.0,0.0,-2.0307648413759427,8.83491,1.0,1.0,3.6092174959246304,24.54877629761118,4.391465526681375,5,953,6506,1477,2012,1,0,2,0,0,2
2018,102,IN,-6.16290322,-19.77378631,6.11064592,6.817501700096402,6.0,0.0,-0.14277345277713405,8.83491,1.0,1.0,0.0,-0.08124097397294369,0.0,4,547,8549,1479,2012,0,0,4,0,0,0
2018,106,MI,6.63713831,0.22633144,21.50553871,3.675716319359225,6.0,0.0,0.906218059834285,8.83491,1.0,0.0,-1.077089197772504,0.0,0.0,1,984,8689,1483,2012,1,0,0,0,0,0
2018,103,ME,21.31277978,4.54290392,26.48234834,6.1527730998443175,6.0,0.0,0.6463293917937651,8.83491,1.0,0.0,0.0,0.0,0.0,0,1187,8680,1480,2012,0,0,0,0,0,0
2014,23,CO,-2.05840587,1.62698213,10.81305764,3.6609893891658842,6.0,0.0,3.8443314518427085,-1.804629999999996,1.0,0.0,0.0,-2.033693782214356,0.0,6,1543,2816,1548,2008,0,0,4,2,0,0
2014,24,DE,13.87148223,15.94132474,17.15415818,7.841571665440216,4.0,0.0,0.062127343453699524,-1.804629999999996,1.0,0.0,4.78209918162581,0.0,0.0,1,1299,4515,1513,2010,0,1,0,0,0,0
2014,17,GA,-7.83187416,-12.09537758,-3.02674307,-1.1663168978772056,6.0,0.0,0.9220601060120348,-1.804629999999996,0.0,0.0,0.0,0.0,0.0,0,4488,4489,1550,2008,0,0,0,0,0,0
2014,27,ID,-30.65672393,-35.659654,-25.66412067,0.704829176095215,6.0,0.0,0.8081295431651592,-1.804629999999996,-1.0,0.0,0.0,0.0,0.0,0,4483,2710,1552,2008,0,0,0,0,0,0
2014,4,IL,11.2773088,14.83972926,40.79114722,16.44924775849443,6.0,0.0,-0.7066945292892868,-1.804629999999996,1.0,0.0,0.0,13.1551661928546,0.0,2,1574,4526,1553,2008,0,0,0,2,0,0
