president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,02/09/2006,02/12/2006,39.0,56.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/06/2006,02/09/2006,42.0,55.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/20/2006,1/22/2006,43.0,54.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/9/2006,1/12/2006,43.0,53.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/06/2006,1/8/2006,43.0,54.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/19/2005,12/22/2005,43.0,53.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/16/2005,12/18/2005,41.0,56.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/9/2005,12/11/2005,42.0,55.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/05/2005,12/8/2005,43.0,52.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/17/2005,11/20/2005,38.0,57.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/11/2005,11/13/2005,37.0,60.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/7/2005,11/10/2005,40.0,55.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/28/2005,10/30/2005,41.0,56.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/21/2005,10/23/2005,42.0,55.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/13/2005,10/16/2005,39.0,58.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/26/2005,09/28/2005,44.0,50.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/16/2005,09/18/2005,40.0,58.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/12/2005,09/15/2005,45.0,52.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/08/2005,09/11/2005,46.0,51.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/28/2005,08/30/2005,45.0,52.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/22/2005,08/25/2005,40.0,58.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/08/2005,08/11/2005,45.0,51.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/05/2005,08/07/2005,45.0,51.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/25/2005,07/28/2005,44.0,51.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/22/2005,07/24/2005,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/07/2005,07/10/2005,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/29/2005,06/30/2005,46.0,51.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/24/2005,06/26/2005,45.0,53.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/16/2005,06/19/2005,47.0,51.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/06/2005,06/08/2005,47.0,49.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/23/2005,05/26/2005,48.0,47.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
