race_id,cycle,state_abbrev,d_candidate,r_candidate,d_quality_tier,r_quality_tier,d_wikidata_qid,r_wikidata_qid,d_prior_offices,r_prior_offices,incumbent_side,challenger_side,challenger_quality_tier
119,2018,RI,Sheldon Whitehouse,Bob Flanders,4,0,Q652066,,"federal:United States senator[2015-01-03,2017-01-03] | statewide:Attorney General of Rhode Island[1999-01-02,2003-01-07] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03]",,D,R,0
120,2018,TN,Phil Bredesen,Marsha Blackburn,4,4,Q724001,Q458971,"governor:Governor of Tennessee[2003-01-18,2011-01-15] | local:mayor of Nashville[1991-09-27,1999-09-24]","state_legislative:member of the State Senate of Tennessee[1999-01-12,2003-01-03]",,,0
121,2018,TX,Beto O'Rourke,Ted Cruz,4,4,Q4014532,Q2036942,,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",R,D,4
122,2018,UT,Jenny Wilson,Mitt Romney,0,4,Q6179531,Q4496,,"governor:Governor of Massachusetts[2003-01-02,2007-01-04]",,,0
124,2018,VA,Timothy Michael Kaine,Corey Stewart,4,1,,Q5170449,,,D,R,1
123,2018,VT,Bernie Sanders,Lawrence Zupan,4,0,Q359442,Q111337197,"federal:United States senator[2015-01-03,2017-01-03] | local:Mayor of Burlington, Vermont[1981-04-06,1989-04-04] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2009-01-03,2011-01-03]",,D,R,0
125,2018,WA,Maria Cantwell,Susan Hutchison,4,0,Q22250,,"state_legislative:member of the Washington House of Representatives[1987-01-12,1993-01-11] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2005-01-03,2007-01-03]",,D,R,0
127,2018,WI,Tammy Baldwin,Leah Vukmir,4,0,Q40628,Q6509264,"state_legislative:member of the Wisconsin State Assembly[1993-01-03,1999-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | local:Dane County Commissioner[1986-01-01,1994-01-01] | federal:United States senator[2015-01-03,2017-01-03]",,D,R,0
126,2018,WV,"Joe Manchin, III",Patrick Morrisey,4,3,Q538868,Q7147254,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2010-11-15,2011-01-03] | state_legislative:Member of the West Virginia House of Delegates[1982-12-01,1986-12-01] | governor:Governor of West Virginia[2005-01-17,2010-11-15] | state_legislative:member of the State Senate of West Virginia[1986-12-01,1996-12-01] | statewide:Secretary of State of West Virginia[2001-01-15,2005-01-17] | federal:United States senator[2017-01-03,2019-01-03]","statewide:West Virginia Attorney General[2013-01-14,2025-01-12]",D,R,3
128,2018,WY,Gary Trauner,John Barrasso,0,4,Q5526069,Q720521,,"federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the State Senate of Wyoming[2003-01-03,2007-06-22] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2007-06-22,2009-01-03]",R,D,0
8917,2022,AL,Will Boyd,Katie Britt,0,0,Q114245432,Q111285444,,,,,0
8920,2022,AR,Natalie James,John Boozman,0,4,Q115196114,Q1344707,,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2011-01-03,2013-01-03]",R,D,0
8919,2022,AZ,Mark Kelly,Blake Masters,4,0,Q357510,Q4924430,"federal:United States senator[2020-12-02,2021-01-03] | federal:United States senator[2021-01-03,2023-01-03]",,D,R,0
9480,2022,CA,Alex Padilla,Mark P. Meuser,4,0,Q4717593,,"local:President of the Los Angeles City Council[2001-07-04,2006-01-01] | statewide:Secretary of State of California[2015-01-05,2021-01-18] | federal:United States senator[2021-01-20,2023-01-03] | state_legislative:member of the State Senate of California[2006-12-04,2014-11-30]",,D,R,0
8921,2022,CA,Alex Padilla,Mark P. Meuser,4,0,Q4717593,,"local:President of the Los Angeles City Council[2001-07-04,2006-01-01] | statewide:Secretary of State of California[2015-01-05,2021-01-18] | federal:United States senator[2021-01-20,2023-01-03] | state_legislative:member of the State Senate of California[2006-12-04,2014-11-30]",,D,R,0
8922,2022,CO,Michael Bennet,Joe O'Dea,4,0,Q554792,Q114323979,"federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2009-01-21,2011-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2011-01-03,2013-01-03]",,D,R,0
8923,2022,CT,Richard Blumenthal,Leora R. Levy,4,0,Q2023708,,"state_legislative:member of the State Senate of Connecticut[1987-01-01,1990-01-01] | federal:United States senator[2021-01-03,2023-01-03] | statewide:Connecticut Attorney General[1991-01-01,2010-01-01] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2019-01-03,2021-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | state_legislative:Member of the Connecticut House of Representatives[1984-01-01,1987-01-01]",,D,R,0
8924,2022,FL,Val Demings,Marco Rubio,4,4,Q7909083,Q324546,,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2013-01-03,2015-01-03] | state_legislative:member of the Florida House of Representatives[2000-01-25,2008-11-18] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2021-01-03,2023-01-03] | federal:United States senator[2019-01-03,2021-01-03] | state_legislative:Speaker of the Florida House of Representatives[2006-11-21,2008-11-18]",R,D,4
8925,2022,GA,Raphael Warnock,Herschel Junior Walker,4,0,Q84146599,,"federal:United States senator[2021-01-20,2023-01-03]",,D,R,0
8926,2022,HI,Brian Schatz,Bob McDermott,4,0,Q1827902,Q16195204,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2012-12-26,2013-01-03] | federal:United States senator[2019-01-03,2021-01-03] | statewide:Lieutenant Governor of Hawaii[2010-12-06,2012-12-26] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2021-01-03,2023-01-03] | state_legislative:member of the Hawaii House of Representatives[1998-11-03,2006-11-07]",,D,R,0
