cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2014,TN,William Gordon Ball,4612,Q2579712,MATCHED,9,William Lee Ball,American politician (1781-1824),0,,federal:Member of the United States House of Representatives from Virginia | state_legislative:member of the Virginia House of Delegates | state_legislative:member of the State Senate of Virginia,NO_MATCH
2014,TN,Lamar Alexander,167,Q419976,MATCHED,23,Lamar Alexander,American politician,0,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2009-01-03,2011-01-03] | governor:Governor of Tennessee[1979-01-17,1987-01-17]",,NO_MATCH
2014,TX,David M. Alameel,4595,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2014,TX,John Cornyn,1699,Q719568,MATCHED,23,John Cornyn,American politician and attorney (born 1952),3,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2005-01-03,2007-01-03] | statewide:Texas Attorney General[1999-01-13,2002-12-01] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2002-12-02,2003-01-03]",,
2014,VA,Mark R. Warner,67,Q453893,MATCHED,13,Mark Warner,United States Senator from Virginia,0,"federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2011-01-03,2013-01-03] | governor:Governor of Virginia[2002-01-12,2006-01-14] | federal:United States senator[2013-01-03,2015-01-03]",,NO_MATCH
2014,VA,Ed W. Gillespie,4683,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2014,WV,Natalie E. Tennant,4627,Q6968251,MATCHED,9,Natalie Tennant,American politician,3,"statewide:Secretary of State of West Virginia[2009-01-19,2017-01-18]",,
2014,WV,Shelley Moore Capito,2708,Q459618,MATCHED,25,Shelley Moore Capito,United States Senator from West Virginia,2,"state_legislative:Member of the West Virginia House of Delegates[1996-12-01,2000-12-01]",,
2014,WY,Charlie Hardy,4633,Q5084986,MATCHED,19,Charlie Hardy,Australian rules footballer and coach,0,,,NO_MATCH
2014,WY,Michael B. Enzi,1712,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2018,AZ,Kyrsten Sinema,3067,Q1556541,MATCHED,23,Kyrsten Sinema,American politician (born 1976),2,"state_legislative:member of the Arizona House of Representatives[2005-01-10,2011-01-10] | state_legislative:member of the State Senate of Arizona[2011-01-10,2012-01-03]",,
2018,AZ,Martha McSally,3888,Q6774492,MATCHED,23,Martha McSally,American politician and military pilot (born 1966),2,,,Martha McSally | https://en.wikipedia.org/wiki/Martha_McSally | tier2:house of representatives:2012
2018,CT,Christopher S. Murphy,446,Q5112921,MATCHED,9,Christopher Murphy,British politician (born 1947),0,,,NO_MATCH
2018,CT,Matthew M. Corey,3430,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2018,DE,Thomas R. Carper,951,,NO_CONFIDENT_MATCH,5,,,0,,,NO_MATCH
2018,DE,Rob Arlett,9149,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
2018,FL,Bill Nelson,953,Q358437,MATCHED,23,Bill Nelson,American politician and attorney (born 1942),3,"federal:United States senator[2005-01-03,2007-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2001-01-03,2003-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2003-01-03,2005-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:member of the Florida House of Representatives[1972-01-01,1978-01-01] | federal:United States senator[2009-01-03,2011-01-03] | statewide:Florida State Treasurer/Insurance Commissioner/Fire Marshal[1995-01-03,2001-01-03] | federal:United States senator[2015-01-03,2017-01-03]",,
