target_race_id,target_cycle,target_state,side,candidate_name,politician_id,prior_statewide_count,prior_senate_count,prior_governor_count,mean_own_party_overperf_vs_pvi_pctpt,mean_own_party_overperf_cycle_adjusted_pctpt,latest_prior_statewide_cycle,personal_vote_finalized
8924,2022,FL,R,Marco Rubio,481,2,2,0,21.04012745,17.08757612,2016,false
8925,2022,GA,D,Raphael Warnock,10220,0,0,0,,,,false
8925,2022,GA,R,Herschel Junior Walker,11490,0,0,0,,,,false
8926,2022,HI,D,Brian Schatz,2654,2,2,0,9.17210069,11.31581835,2016,false
8926,2022,HI,R,Bob McDermott,14961,0,0,0,,,,false
8930,2022,IA,D,Michael Franken,18383,0,0,0,,,,false
8930,2022,IA,R,Chuck Grassley,517,2,2,0,30.78758166,27.15775421,2016,false
8927,2022,ID,D,David Roth,17997,0,0,0,,,,false
8927,2022,ID,R,Mike Crapo,525,2,2,0,9.52756722,5.25707777,2016,false
8928,2022,IL,D,Tammy Duckworth,3090,1,1,0,1.09537349,4.02778791,2016,false
8928,2022,IL,R,Kathy Salvi,18619,0,0,0,,,,false
8929,2022,IN,D,Thomas McDermott,18027,0,0,0,,,,false
8929,2022,IN,R,Todd Young,3050,1,1,0,-1.42144099,-4.36437371,2016,false
8931,2022,KS,D,Mark R. Holland,18040,0,0,0,,,,false
8931,2022,KS,R,Jerry Moran,566,2,2,0,14.61658631,10.49075976,2016,false
8932,2022,KY,D,Charles Booker,10283,0,0,0,,,,false
8932,2022,KY,R,Rand Paul,30,2,2,0,-10.84496108,-15.71869995,2016,false
8935,2022,MD,D,Chris Van Hollen,3028,1,1,0,4.78431470,7.83572722,2016,false
8935,2022,MD,R,Chris Chaffee,4264,0,0,0,,,,false
8936,2022,MO,D,Trudy Busch Valentine,18422,0,0,0,,,,false
8936,2022,MO,R,Eric Schmitt,13297,0,0,0,,,,false
8940,2022,NC,D,Cheri Beasley,17724,0,0,0,,,,false
8940,2022,NC,R,Ted Budd,8570,0,0,0,,,,false
8941,2022,ND,D,Katrina Christiansen,18197,0,0,0,,,,false
8941,2022,ND,R,John Hoeven,669,3,2,1,34.56043802,36.87603766,2016,false
8938,2022,NH,D,Maggie Hassan,6712,3,1,2,3.59664969,5.26282888,2016,false
8938,2022,NH,R,Donald C. Bolduc,9712,0,0,0,,,,false
8937,2022,NV,D,Catherine Cortez Masto,6829,1,1,0,-1.07626792,1.78609355,2016,false
8937,2022,NV,R,Adam Paul Laxalt,6830,1,0,1,-3.11406748,-1.27889183,2018,false
8939,2022,NY,D,Charles E. Schumer,744,2,2,0,17.49391676,22.57287480,2016,false
8939,2022,NY,R,Joe Pinion,18148,0,0,0,,,,false
8942,2022,OH,D,Tim Ryan,2984,0,0,0,,,,false
8942,2022,OH,R,JD Vance,13265,0,0,0,,,,false
9482,2022,OK,D,Kendra Horn,8968,0,0,0,,,,false
9482,2022,OK,R,Markwayne Mullin,3122,0,0,0,,,,false
8943,2022,OK,D,Madison Horn,18705,0,0,0,,,,false
8943,2022,OK,R,James Lankford,2881,2,2,0,5.58628407,3.91549957,2016,false
8944,2022,OR,D,Ron Wyden,788,2,2,0,13.52115549,18.48165010,2016,false
8944,2022,OR,R,Jo Rae Perkins,4569,1,1,0,-8.67132159,-3.52116647,2020,false
8945,2022,PA,D,John Fetterman,8074,0,0,0,,,,false
8945,2022,PA,R,Mehmet Oz,17731,0,0,0,,,,false
8946,2022,SC,D,Krystle Matthews,18263,0,0,0,,,,false
8946,2022,SC,R,Tim Scott,2712,2,2,0,8.22720357,6.63903969,2016,false
8947,2022,SD,D,Brian L. Bengs,18275,0,0,0,,,,false
8947,2022,SD,R,John R. Thune,22,1,1,0,23.40900118,21.26705047,2016,false
8949,2022,VT,D,Peter Welch,3038,0,0,0,,,,false
8949,2022,VT,R,Gerald Malloy,18827,0,0,0,,,,false
8950,2022,WA,D,Patty Murray,907,2,2,0,0.90188460,5.48973939,2016,false
8950,2022,WA,R,Tiffany Smiley,14330,0,0,0,,,,false
8951,2022,WI,D,Mandela Barnes,17690,0,0,0,,,,false
8951,2022,WI,R,Ron Johnson,919,2,2,0,9.02861974,4.74974858,2016,false
