race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
33,2014,RI,Class II,2012,2008,24.21172649,21.09795598,23.18418222
11,2014,SC,Class II,2012,2008,-14.43827488,-16.38717741,-15.08141272
36,2014,SC,Class III,2012,2008,-14.43827488,-16.38717741,-15.08141272
22,2014,SD,Class II,2012,2008,-22.25876375,-15.88973350,-20.15698377
28,2014,TN,Class II,2012,2008,-24.52390852,-22.56126264,-23.87623538
19,2014,TX,Class II,2012,2008,-19.83755990,-19.17019254,-19.61732867
16,2014,VA,Class II,2012,2008,0.11298791,-0.93315022,-0.23223768
30,2014,WV,Class II,2012,2008,-31.17036074,-20.64580657,-27.69725786
13,2014,WY,Class II,2012,2008,-46.14303349,-40.42236574,-44.25521314
69,2016,AK,Class III,2012,2008,-18.45234643,-29.42788887,-22.07427544
68,2016,AL,Class III,2012,2008,-26.25422254,-29.08012454,-27.18677020
83,2016,AR,Class III,2012,2008,-28.13057617,-27.64176026,-27.96926692
87,2016,AZ,Class III,2012,2008,-13.04852592,-15.92612047,-13.99813212
89,2016,CA,Class III,2012,2008,19.92385686,17.25858015,19.04431554
74,2016,CO,Class III,2012,2008,1.67424883,1.80295035,1.71672033
91,2016,CT,Class III,2012,2008,13.72338948,15.33835746,14.25632892
93,2016,FL,Class III,2012,2008,-2.93726119,-4.45899897,-3.43943466
88,2016,GA,Class III,2012,2008,-11.73506367,-12.55499006,-12.00563938
64,2016,HI,Class III,2012,2008,39.58593153,38.68913272,39.28998792
92,2016,IA,Class III,2012,2008,2.09693838,2.39923654,2.19669678
80,2016,ID,Class III,2012,2008,-36.66453916,-33.34749864,-35.56991579
84,2016,IL,Class III,2012,2008,13.33328131,18.17020905,14.92946747
78,2016,IN,Class III,2012,2008,-14.22251467,-6.25441214,-11.59304083
60,2016,KS,Class III,2012,2008,-26.04841896,-22.52287067,-24.88498803
81,2016,KY,Class III,2012,2008,-26.90731026,-23.76517421,-25.87040536
82,2016,MD,Class III,2012,2008,22.82168610,18.56185555,21.41594202
