race_id,cycle,state_abbrev,side,candidate_name,auto_governor_experience,match_status,match_score,second_score,matched_nga_name,identity_suffix_mismatch,nga_prior_governor,final_governor_experience,source,nga_terms
8925,2022,GA,D,Raphael Warnock,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8925,2022,GA,R,Herschel Junior Walker,0,AMBIGUOUS,0.5882,0.5455,,false,,0,election_history_fallback,
8926,2022,HI,D,Brian Schatz,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8926,2022,HI,R,Bob McDermott,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8930,2022,IA,D,Michael Franken,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8930,2022,IA,R,Chuck Grassley,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8927,2022,ID,D,David Roth,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8927,2022,ID,R,Mike Crapo,0,AMBIGUOUS,0.4828,0.0000,,false,,0,election_history_fallback,
8928,2022,IL,D,Tammy Duckworth,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8928,2022,IL,R,Kathy Salvi,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8929,2022,IN,D,Thomas McDermott,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8929,2022,IN,R,Todd Young,0,AMBIGUOUS,0.7000,0.6667,,false,,0,election_history_fallback,
8931,2022,KS,D,Mark R. Holland,0,AMBIGUOUS,0.5789,0.0000,,false,,0,election_history_fallback,
8931,2022,KS,R,Jerry Moran,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8932,2022,KY,D,Charles Booker,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8932,2022,KY,R,Rand Paul,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8935,2022,MD,D,Chris Van Hollen,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8935,2022,MD,R,Chris Chaffee,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8936,2022,MO,D,Trudy Busch Valentine,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8936,2022,MO,R,Eric Schmitt,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8940,2022,NC,D,Cheri Beasley,0,AMBIGUOUS,0.6429,0.0000,,false,,0,election_history_fallback,
8940,2022,NC,R,Ted Budd,0,AMBIGUOUS,0.4615,0.0000,,false,,0,election_history_fallback,
8941,2022,ND,D,Katrina Christiansen,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8941,2022,ND,R,John Hoeven,1,ACCEPTED,1.0000,0.0000,John Hoeven,false,1,1,NGA_or_election_history,North Dakota:2000-2010
8938,2022,NH,D,Maggie Hassan,1,ACCEPTED,1.0000,0.0000,Maggie Hassan,false,1,1,NGA_or_election_history,New Hampshire:2013-2017
8938,2022,NH,R,Donald C. Bolduc,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8937,2022,NV,D,Catherine Cortez Masto,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8937,2022,NV,R,Adam Paul Laxalt,0,AMBIGUOUS,0.6111,0.0000,,false,,0,election_history_fallback,
8939,2022,NY,D,Charles E. Schumer,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8939,2022,NY,R,Joe Pinion,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8942,2022,OH,D,Tim Ryan,0,AMBIGUOUS,0.4762,0.0000,,false,,0,election_history_fallback,
8942,2022,OH,R,JD Vance,0,AMBIGUOUS,0.7000,0.5185,,false,,0,election_history_fallback,
9482,2022,OK,D,Kendra Horn,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
9482,2022,OK,R,Markwayne Mullin,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8943,2022,OK,D,Madison Horn,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8943,2022,OK,R,James Lankford,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8944,2022,OR,D,Ron Wyden,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8944,2022,OR,R,Jo Rae Perkins,0,AMBIGUOUS,0.6111,0.0000,,false,,0,election_history_fallback,
8945,2022,PA,D,John Fetterman,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8945,2022,PA,R,Mehmet Oz,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8946,2022,SC,D,Krystle Matthews,0,AMBIGUOUS,0.7097,0.6667,,false,,0,election_history_fallback,
8946,2022,SC,R,Tim Scott,0,AMBIGUOUS,0.7368,0.5926,,false,,0,election_history_fallback,
8947,2022,SD,D,Brian L. Bengs,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8947,2022,SD,R,John R. Thune,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8949,2022,VT,D,Peter Welch,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8949,2022,VT,R,Gerald Malloy,0,AMBIGUOUS,0.6923,0.0000,,false,,0,election_history_fallback,
8950,2022,WA,D,Patty Murray,0,AMBIGUOUS,0.5926,0.5625,,false,,0,election_history_fallback,
8950,2022,WA,R,Tiffany Smiley,0,NO_MATCH,0.0000,0.0000,,false,,0,election_history_fallback,
8951,2022,WI,D,Mandela Barnes,0,AMBIGUOUS,0.6154,0.0000,,false,,0,election_history_fallback,
8951,2022,WI,R,Ron Johnson,0,AMBIGUOUS,0.7826,0.7200,,false,,0,election_history_fallback,
