race_id,cycle,state_abbrev,state,seat,special,headline_cycle,classification,reasons,winner,dem_candidate,rep_candidate,all_candidates
98,2018,CT,Connecticut,Class I,false,true,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Christopher S. Murphy [DEM/WFP] 825579,Christopher S. Murphy [DEM/WFP] 825579,Matthew M. Corey [REP] 545717,Christopher S. Murphy [DEM/WFP] 825579 | Fred Linck [W] 70 | Jeffery Russell [GRE] 6618 | Kristi L. Talmadge [W] 18 | Matthew M. Corey [REP] 545717 | Richard Lion [LIB] 8838
103,2018,ME,Maine,Class I,false,true,FINAL_ROUND_RULE_REQUIRED,winner_not_major_party;ranked_choice,Angus S. King Jr. [IND] 344575,Zak Ringelstein [DEM] 66268,Eric L. Brakey [REP] 223502,Angus S. King Jr. [IND] 344575 | Blank [NONE] 11655 | Eric L. Brakey [REP] 223502 | Other [NONE] 64 | Zak Ringelstein [DEM] 66268
129,2018,MN,Minnesota,Class II,true,true,SPECIAL_ELECTION_POLICY_REQUIRED,special,Tina Smith [DEM] 1370540,Tina Smith [DEM] 1370540,Karin Housley [REP] 1095777,Jerry Trooien [UN] 24324 | Karin Housley [REP] 1095777 | Sarah Wellington [LMN] 95614 | Tina Smith [DEM] 1370540 | Write-in [NONE] 1101
115,2018,NY,New York,Class I,false,true,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Kirsten E. Gillibrand [DEM/IDP/OTH/WFP] 4056931,Kirsten E. Gillibrand [DEM/IDP/OTH/WFP] 4056931,Chele Farley [CRV/REF/REP] 1998220,Blank [NONE] 190794 | Chele Farley [CRV/REF/REP] 1998220 | Kirsten E. Gillibrand [DEM/IDP/OTH/WFP] 4056931 | Scattering [NONE] 3872 | Void [NONE] 1069
123,2018,VT,Vermont,Class I,false,true,MANUAL_PARTY_ALIGNMENT_REQUIRED,non_unique_or_missing_D_R;winner_not_major_party,Bernie Sanders [IND] 183649,,Lawrence Zupan [REP] 74815,Bernie Sanders [IND] 183649 | Blank [NONE] 5389 | Brad J. Peacock [IND] 3665 | Bruce Busa [IND] 914 | Edward S. Gilbert [IND] 2244 | Folasade Adeluola [IND] 1979 | Jon Svitavsky [IND] 1130 | Lawrence Zupan [REP] 74815 | Reid Kane [LBU] 1171 | Russell Beste [IND] 2763 | Write-in [NONE] 294
6267,2020,AR,Arkansas,Class II,false,false,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Tom Cotton [REP] 793871,,Tom Cotton [REP] 793871,Ricky Dale Harrington Jr. [LIB] 399390 | Tom Cotton [REP] 793871
6268,2020,AZ,Arizona,Class III,true,false,SPECIAL_ELECTION_POLICY_REQUIRED,special,Mark Kelly [DEM] 1716467,Mark Kelly [DEM] 1716467,Martha McSally [REP] 1637661,Adam Chilton [W] 19 | Benjamin Rodriguez [W] 17 | Buzz Stewart [W] 22 | Christopher Beckett [W] 69 | Debbie Simmons [W] 98 | Edward Davida [W] 28 | Frank Saenz [W] 8 | Jim Stevens [W] 23 | John Schiess [W] 92 | Joshua Rodriguez [W] 69 | Mark Kelly [DEM] 1716467 | Martha McSally [REP] 1637661 | Matthew Dorchester [W] 379 | Matthew Haupt [W] 37 | Mohammad Arif [W] 68 | Nicholas N. Glenn [W] 152 | Patrick Thomas [W] 29 | Perry Kapadia [W] 58 | William Decker [W] 21
6279,2020,ME,Maine,Class II,false,false,FINAL_ROUND_RULE_REQUIRED,ranked_choice,Susan M. Collins [REP] 417645,Sara I. Gideon [DEM] 347223,Susan M. Collins [REP] 417645,Blank [NONE] 9122 | Lisa Savage [IND] 40579 | Max Linn [IND] 13508 | Other [NONE] 228 | Sara I. Gideon [DEM] 347223 | Susan M. Collins [REP] 417645
8918,2022,AK,Alaska,Class III,false,true,FINAL_ROUND_RULE_REQUIRED,non_unique_or_missing_D_R;ranked_choice;fusion_or_multiline,Lisa Murkowski [REP] 366207,Patricia R. Chesbro [DEM] 57367,,Buzz A. Kelley [REP] 8575 | Kelly C. Tshibaka [REP] 344945 | Lisa Murkowski [REP] 366207 | Patricia R. Chesbro [DEM] 57367
9480,2022,CA,California,Class III,true,true,SPECIAL_ELECTION_POLICY_REQUIRED,special,Alex Padilla [DEM] 6559303,Alex Padilla [DEM] 6559303,Mark P. Meuser [REP] 4212446,Alex Padilla [DEM] 6559303 | Mark P. Meuser [REP] 4212446
8923,2022,CT,Connecticut,Class III,false,true,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Richard Blumenthal [DEM/WFP] 723864,Richard Blumenthal [DEM/WFP] 723864,Leora R. Levy [REP] 535943,John Anderson [W] 68 | Leora R. Levy [REP] 535943 | Richard Blumenthal [DEM/WFP] 723864 | Shabadjot Bharara [W] 12
8939,2022,NY,New York,Class III,false,true,SAFE_IF_AGGREGATE_SAME_CANDIDATE,fusion_or_multiline,Charles E. Schumer [DEM/WFP] 3320561,Charles E. Schumer [DEM/WFP] 3320561,Joe Pinion [CON/REP] 2501151,Blank [NONE] 111556 | Charles E. Schumer [DEM/WFP] 3320561 | Diane Sare [OTH] 26844 | Joe Pinion [CON/REP] 2501151 | Scattering [NONE] 4151 | Void [NONE] 1421
9482,2022,OK,Oklahoma,Class II,true,true,SPECIAL_ELECTION_POLICY_REQUIRED,special,Markwayne Mullin [REP] 710643,Kendra Horn [DEM] 405389,Markwayne Mullin [REP] 710643,Kendra Horn [DEM] 405389 | Markwayne Mullin [REP] 710643 | Ray Woods [IND] 17063 | Robert Murphy [LIB] 17386
8948,2022,UT,Utah,Class III,false,true,MANUAL_RACE_RULE_REQUIRED,non_unique_or_missing_D_R,Mike Lee [REP] 571974,,Mike Lee [REP] 571974,Abraham Korb [W] 37 | Evan McMullin [IND] 459958 | James Arthur Hansen [LIB] 31784 | Laird F. Hamblin [W] 152 | Michael Seguin [W] 60 | Mike Lee [REP] 571974 | Tommy Williams [IAP] 12103
